City	Library	(Collection + ) Call Number	Witness to text	Specific contents	Main language	Date AH	Date CE	Inferred date		Place	Copyist name	Ownership	Catalogue reference	Digital resource	Alternative data source	Scan available
Istanbul	Süleymaniye	Atif Efendi 1681	Rasāʾil ikhwān al-ṣafāʾ 	Full	Arabic	578	1182			Shammākhiyya	Mawdūd b. 'Uthmān b. 'Umar al-ṭabīb al-Shirwānī			https://portal.yek.gov.tr/works/detail/656096		Yes
Istanbul	Süleymaniye	Ayasofya 3768	Rasāʾil ikhwān al-ṣafāʾ 	Partial (qism 3 and 4.	Arabic									https://portal.yek.gov.tr/works/detail/204710		
Istanbul	Süleymaniye	Carullah 1638	Rasāʾil ikhwān al-ṣafāʾ 	Partial	Arabic	1139	1726								Vidi (Scan)	
Istanbul	Süleymaniye	Carullah 2107	Rasāʾil ikhwān al-ṣafāʾ 	Partial	Arabic			pre-880AH							Vidi (Scan)	
Istanbul	Süleymaniye	Carullah 982	Rasāʾil ikhwān al-ṣafāʾ 	Partial	Arabic										Vidi (Scan)	
Istanbul	Süleymaniye	Esad Efendi 1191	al-Risāla al-ʿayniyya fī al-Ḥikma al-ḥaqīqiyya	Written by al-Bihishtī (d. 749		741	1340								Vidi (Scan)	
Istanbul	Süleymaniye	Esad Efendi 3620	Rasāʾil ikhwān al-ṣafāʾ 	Partial (2.4-2.10 & 2.15)	Arabic			7th/13th C						https://portal.yek.gov.tr/works/detail/190077		Yes
Istanbul	Süleymaniye	Esad Efendi 3636 		Extract in majmūʿa (TBC)											Vidi (Scan)	
Istanbul	Süleymaniye	Esad Efendi 3637	Rasāʾil ikhwān al-ṣafāʾ 	Full	Arabic			7th/13th C							Vidi (Scan)	
Istanbul	Süleymaniye	Esad Efendi 3638	Rasāʾil ikhwān al-ṣafāʾ 	Full	Arabic	686	1287			Baghdad	Buzurgmihr b. Muḥammad al-Ṭūsī				Vidi (Scan)	
Istanbul	Süleymaniye	Fatih 3178	Mujmal al-ḥikma	Full	Persian	645	1247				Abū ʿAbdallāh Muḥammad b. Muḥammad b. ʿAlī al-kātib Ibn al-Khafāf taʿrīfan al-Nakhjuwānī				Vidi (Scan)	
Istanbul	Süleymaniye	Halet Efendi 724?		Unclear, data does not match scans		1141	1729				ʿAbdallāh Fityānī		Fehrestegan (check			
Istanbul	Süleymaniye	Hamidiye 1440	Rasāʾil ikhwān al-ṣafāʾ 	Extract in majmūʿa (risala fi mahiyyat al-tabi'iyyat)											Vidi (Scan)	
Istanbul	Süleymaniye	Hamidiye 1444 	Rasāʾil ikhwān al-ṣafāʾ 	Full		1161	1748			Jerusalem	ʿAbdallāh al-Faytānī imam in al-Ṣakhra al-Mashriqa				Vidi (Scan)	
Istanbul	Süleymaniye	Hazreti Nasuhi Dergahı 189		Personal mukhtasar of Epistles (TBC)											Vidi (Scan)	
Istanbul	Süleymaniye	Hüsrev Paşa 251	Rasāʾil ikhwān al-ṣafāʾ 	Extract in majmūʿa (risalat al-hay'a)						Maghreb				https://ismi.mpiwg-berlin.mpg.de/witness/466870		
Istanbul	Süleymaniye	Laleli 3639 	Mukhtaṣar 	By Dāwud al-ṭabīb		1109	1697				Muḥammad b. ʿAbdallāh b. Muḥammad b. Jumʿāʾ al-Hindī.				Vid (Scan)	
Istanbul	Süleymaniye	Şehid Ali Paşa 2785	Rasāʾil ikhwān al-ṣafāʾ 	Partial (eight rasa'il)											Vidi (Scan)	
Istanbul	Süleymaniye	Yeni Cami 1199	Rasāʾil ikhwān al-ṣafāʾ 	Full		887	1482			Mecca					Vidi (Scan)	
Istanbul	Topkapı Palace Library	Ahmet III 3258/1 	Rasāʾil ikhwān al-ṣafāʾ 	Partial (first vol. of (probably) two)								Bayezid II Seal	Karatay 6574			
Istanbul	Topkapı Palace Library	Revan Köşk 1062 	Rasāʾil ikhwān al-ṣafāʾ 	Partial (first vol. of (probably) two)		717	1317						Karatay 6575	http://alnadeem-mss.malecso.org/cgi-bin/koha/opac-detail.pl?biblionumber=110731&shelfbrowse_itemnumber=111187#shelfbrowser		
Istanbul	Topkapı Palace Library	Emanet Hazinesi 1684	Rasāʾil ikhwān al-ṣafāʾ 	Full									Karatay 6576	http://alnadeem-mss.malecso.org/cgi-bin/koha/opac-detail.pl?biblionumber=110745&shelfbrowse_itemnumber=111201#holdings		
Istanbul	Topkapı Palace Library	Emanet Hazinesi 1686 	Rasāʾil ikhwān al-ṣafāʾ 	Full		1161	1748				ʿĀrif b. ʿAlī al-Ḥalabī		Karatay 6577			
Istanbul	Topkapı Palace Library	Ahmet III 3258/2 	Rasāʾil ikhwān al-ṣafāʾ 	Partial (second qism)								Bayezid II Seal	Karatay 6578	http://alnadeem-mss.malecso.org/cgi-bin/koha/opac-detail.pl?biblionumber=110703&query_desc=kw%2Cwrdl%3A%20%D8%B1%D8%B3%D8%A7%D8%A6%D9%84%20%D8%A7%D8%AE%D9%88%D8%A7%D9%86%20%D8%A7%D9%84%D8%B5%D9%81%D8%A7		
Istanbul	Topkapı Palace Library	Ahmet III 2128	Rasāʾil ikhwān al-ṣafāʾ 	Partial (third qism)								Bayezid II Seal + 	Karatay 6579	http://alnadeem-mss.malecso.org/cgi-bin/koha/opac-detail.pl?biblionumber=110724&shelfbrowse_itemnumber=111181#shelfbrowser		
Jounieh	Ordre Basilien Alepin	363	Rasāʾil ikhwān al-ṣafāʾ 	Extracts in Christian (!) majmūʿa				11th/17th C						https://w3id.org/vhmml/readingRoom/view/506707		
Kabul	Kabul Museum Library 	143 (56)	Rasāʾil ikhwān al-ṣafāʾ 	Full copy?									S. De Laugier de Beaurecueil, Manuscrits d’Afghanistan, Cairo 1964, p. 80 https://archive.org/details/waqsfmkn_1/07_Afghanistan/page/n79/mode/2up			
Kashan	Riḍāwī	70	Mujmal al-ḥikma	Full?				11th/17th C					Fehrestegan 28:316, no. 17			
Kastamonu	İl Halk Kütüphanesi	37 Hk 2190/6 	Rasāʾil ikhwān al-ṣafāʾ 	Full? (but included in majmūʿa)		1234	1817			Istanbul	Mehmed Halis b. Ahmed	Dedicated to Şeyh Ahmet Siyahî Kütüphanesi			Vidi (Scan	
Kayseri	Raşit Efendi Yazma Eser Kütüphanesi	865	Rasāʾil ikhwān al-ṣafāʾ 	Full				mid-9th/15th C		Istanbul?		Dedicated to sultan Mehmed b. Murad			Vidi (scan)	
Kerbala	al-Rawḍa al-Ḥusayniyya Library / Dār al-makhṭūṭāt al-ʿataba al-Ḥusayniyya 	389m-9055ḥ	Risālat al-jāmiʿa 	Full?		1037	1627				Muḥammad				NLAI	
Kerbala	al-Rawḍa al-Ḥusayniyya Library / Dār al-makhṭūṭāt al-ʿataba al-Ḥusayniyya 	5494	Rasāʾil ikhwān al-ṣafāʾ 	Partial (3.8-end)	Arabic										Vidi (Scan)	
Khansar	K. Fāḍil Khānsārī	221		Single epistle in majmūʿa				13th/19th C			Mullā Muḥammad Taqī Golpāygānī				Catalogue	
Konya	İzzet Koyunoğlu Şehir Müzesi 	Film 960 (?)	Mujmal al-ḥikma	Full copy?											Danishpazhuh ed.	
Konya	Mevlana müzesi kütüphanesi	5707	Mujmal al-ḥikma	Full copy?				late 7th/8th C		Saljuq Anatolia					NLAI	
Kuwayt 	Kuwayt University Library	874	Rasāʾil ikhwān al-ṣafāʾ 	Partial (qism 3 & 4)										http://library1.kuniv.edu.kw/manuscript/Scriptsview.asp?ID=30810		
Lahore	Punjab University Library 	Muḥammad Shafīʿ Lahūrī 244/79	Mujmal al-ḥikma		Persian	1014	1605				Saʿd Allāh				Danishpazhuh ed.	
Leeds	Leeds University Library	25	Rasāʾil ikhwān al-ṣafāʾ 	Full				late 17th/early18th C							Catalogue	
Leiden	Universiteitsbibliotheek	Or. 444	Rasāʾil ikhwān al-ṣafāʾ 	Partial (Rasāʾil 25-51)											Catalogue	
London	British Library	Add. 9599/27	Rasāʾil ikhwān al-ṣafāʾ 	27th extract in majmūʿa, in fact attributed to Ibn Sīna		1221	1806							https://ismi.mpiwg-berlin.mpg.de/witness/466913	Vidi / ISMI	
London	British Library	IO Islamic 824	Rasāʾil ikhwān al-ṣafāʾ 	Extract in from Risala on Music in majmūʿa		1134	1722			Gujarat?	Aḥmad ibn Sulaymān Ghūjārātī				Vidi (Scan)	https://www.qdl.qa/en/archive/81055/vdc_100023620256.0x000001
London	British Library	Or. 2358-9	Rasāʾil ikhwān al-ṣafāʾ 	Full		1088	1677			India?	Muḥammad ʿAbd al-Raḥmān Buhārī (only 3a-10b of vol. 1)				Vidi / Ali-de-Unzaga	
London	British Library	Or. 4518	Rasāʾil ikhwān al-ṣafāʾ 	Full		1096	1683			Oman? 		Endowed by sultan of Oman Ahmad bin Said al-Busaidi (d. 1783)			Vidi / Ali-de-Unzaga	
London	British Library	Or. 6692	Rasāʾil ikhwān al-ṣafāʾ 	Partial (3.2, 3.6-4.3)		646	1248								Vidi	
London	British Library	Or. 8254	Rasāʾil ikhwān al-ṣafāʾ 	Partial (2.7-3.9)		644	1247								Vidi	https://www.qdl.qa/en/archive/81055/vdc_100083806433.0x00000b
London	British Library	Or. 8372 	Mujmal al-ḥikma 	Full		1012	1603				Mīr Sohrab b. Jawānī Afandī 			https://www.fihrist.org.uk/catalog/manuscript_6372		
London	British Library	Persian no. 99?	Mujmal al-ḥikma	Full?		845	1441						Danishpazhuh ed.		Danishpazhuh ed.	
London	Institute of Ismaili Studies 	1000 	Risālat jāmiʿat al-jāmiʿa	Full copy	Arabic	1271	1854				ʿAbd Allāh b. Muḥammad Ḥamdūsh					
London	Institute of Ismaili Studies 	1004	Risālat al-jāmiʿa	Partial (Volume 1) 		1378	1958			Burhanpur	Salām Ḥusayn b. Mullā Muḥammad ʿAlī al-Burhānpūrī				Vidi (Scan)	
London	Institute of Ismaili Studies 	1009	Risālat al-jāmiʿa	Vol. 2 (vol. 1 of this set = IIS 992)	Arabic											
London	Institute of Ismaili Studies 	1033	Risāla majmūʿa min zubd Ikhwān al-ṣafāʾ	Extract in majmūʿa (TBC)											Catalogue	
London	Institute of Ismaili Studies 	1040 	Rasāʾil ikhwān al-ṣafāʾ 	Partial (first half + part of second half)		953	1546			Iran?	al-Ḥasan b. al-Nuʿmānī al-Ismāʿīlī				Vidi (Scan)	
London	Institute of Ismaili Studies 	206	Risālah min naẓm Ikhwān al-Ṣafā‎‎‎‎‎’‎ wa-khullān al-wafā‎‎‎‎‎’‎	Extracts and abridgements in majmūʿa	Arabic	1282	1866				Aḥmad Muḥammad al-‎Ḥājj Khādim al-‎‎‘‎Ilm al-Sharīf			https://special-collections.iis.ac.uk/Details/manuscripts/474		
London	Institute of Ismaili Studies 	576	Rasāʾil ikhwān al-ṣafāʾ 	Full copy?	Arabic			11th/17th C						https://special-collections.iis.ac.uk/Details/manuscripts/456		
London	Institute of Ismaili Studies 	659	Rasāʾil ikhwān al-ṣafāʾ (+ potentially other material?)	Abridgement of some sections of RIS	Arabic									https://special-collections.iis.ac.uk/Details/manuscripts/439		
London	Institute of Ismaili Studies 	83 (E)	Rasāʾil ikhwān al-ṣafāʾ 	Partial (Qism 3, risala 1-10)	Arabic			13th/19th C						https://special-collections.iis.ac.uk/Details/manuscripts/1404 		
London	Institute of Ismaili Studies 	84 (B)	Rasāʾil ikhwān al-ṣafāʾ 	Partial ("al-juzʾ al-rābiʿ = qism 2, (from?) risala 8)	Arabic	1239	1823			Amrīṭ	Ṭayyib ‘Alī ibn al-Ḥājj Mullā Ibrāhīm-jī Ḥakīm			https://special-collections.iis.ac.uk/Details/manuscripts/1401		
London	Institute of Ismaili Studies 	85 (C)	Rasāʾil ikhwān al-ṣafāʾ 	Partial (Qism 2, 2.1-2.7)	Arabic	1111	1699				Fāṭimah-jī bint Khān-jī.			https://special-collections.iis.ac.uk/Details/manuscripts/1402 		
London	Institute of Ismaili Studies 	86 (D)	Rasāʾil ikhwān al-ṣafāʾ 	Partial (Qism 2, 2.9-2.17)	Arabic			12th/18th C						https://special-collections.iis.ac.uk/Details/manuscripts/1403 		
London	Institute of Ismaili Studies 	87 (G)	Rasāʾil ikhwān al-ṣafāʾ 	Partial (Qism 4, 4.3-4.11)	Arabic	1114	1702				Fāṭimah bint Miyān Khān-jī-bhā’ī			https://special-collections.iis.ac.uk/Details/manuscripts/1406		
London	Institute of Ismaili Studies 	88 (F)	Rasāʾil ikhwān al-ṣafāʾ 	Partial (Qism 4, 4.1-4.2)	Arabic	1133	1721							https://special-collections.iis.ac.uk/Details/manuscripts/1405 		
London	Institute of Ismaili Studies 	914	Risālat jāmiʿat al-jāmiʿa	Full copy	Arabic			late 11th/17th C			Miyā Maʾmūjī b. ʿAlī Pāʾīn b. Tājkhān b. Khūj				Vidi (Scan)	
London	Institute of Ismaili Studies 	927	Rasāʾil ikhwān al-ṣafāʾ 	Selections and extracts	Arabic	1311	1894			Shahjahanpur	Isḥāq b. al-Shaykh al-Fāḍil Sulaymānjī				Vidi (Scan)	
London	Institute of Ismaili Studies 	992	Risālat al-jāmiʿa	Vol. 1 (vol. 2 of this set = IIS 1009)	Arabic	1338	1919			India?	Amīn b. ʿAlī al-Kātihyāwārī al-Gādahkarwī				Vidi (Scan)	
London	Institute of Ismaili Studies 	Hamdani 1482 	Rasāʾil ikhwān al-ṣafāʾ 	Partial (qism 4)		1126	1714				Ādam b. Mullā Najm Khān b. Aḥmad		François de Blois, Hamdani handlist 5			
London	Institute of Ismaili Studies 	Hamdani 1483 	Risālat al-jāmiʿa	Volume 2									François de Blois, Hamdani handlist 9			
London	Institute of Ismaili Studies 	Hamdani 1484	Risālat jāmiʿat al-jāmiʿa?	TBC, may not be related									François de Blois, Hamdani handlist 84/1 fols 1-32 and Handlist 84/4 fols 1-40			
London	Institute of Ismaili Studies 	Hamdani 1541	Rasāʾil ikhwān al-ṣafāʾ 	Brief extract in majmūʿa	Arabic								François de Blois, Hamdani handlist, 123	https://special-collections.Institute of Ismaili Studies.ac.uk/Details/manuscripts/86		
London	Institute of Ismaili Studies 	Hamdani 1662	Rasāʾil ikhwān al-ṣafāʾ 	Extracts in majmūʿa	Arabic								François de Blois, Hamdani handlist, 105	https://special-collections.Institute of Ismaili Studies.ac.uk/Details/manuscripts/154		
London	Institute of Ismaili Studies 	Zāhid Ali 1163		Extract in majmūʿa		1294	1877				Faḍl Ali b. Mullā Muḥsin Ali b. Murād Ali				Catalogue	
London	Institute of Ismaili Studies 	Zāhid Ali 1264	Risālat al-jāmiʿa	Partial (Volume 2)				mid 13th/19th C			Ismāʿīl b. Mullā Khānbhāʾī 				Vidi (Scan)	
London	Institute of Ismaili Studies 	Zāhid Ali 1277 	Risālat al-jāmiʿa	Partial (Volume 1 + partial vol. 2)				mid 13th/19th C							Vidi (Scan)	
London	Institute of Ismaili Studies 	Zāhid Ali 1310	Risālat jāmiʿat al-jāmiʿa	Full copy		1275	1858			India?	Ḥasan ʿAlī Afḍal al-Murād				Vidi (Scan)	
London	Royal Asiatic Society Library	Persian 184	Mujmal al-ḥikma	Full										https://www.fihrist.org.uk/catalog/manuscript_2725		
London	SOAS Library	ms. 45812	Rasāʾil ikhwān al-ṣafāʾ 	Full				11th/17th C						https://www.fihrist.org.uk/catalog/manuscript_8585	Vidi	
Los Angeles	UCLA	Caro Minasian Collection, box 120, 940		Extracts in majmūʿa						Iran					Catalogue	
Los Angeles	UCLA	Caro Minasian Collection, box 122, 976		Extracts in majmūʿa				12th/17th-18th C		Iran					Catalogue	
Los Angeles	UCLA	M 1434	Mujmal al-ḥikma			1246	1830				Abū Turāb Ḥusaynī Mūsawī 				Catalogue	
Los Angeles	UCLA	M 556	Mujmal al-ḥikma					11th/17th C							Catalogue	
Los Angeles	UCLA	M 77	Persian translation												Catalogue	
Los Angeles	UCLA	Unknown number - 15187?		Possibly not actually Ikhwan-related											Ketabpedia	
Madras	Oriental Manuscripts Library 	150	Rasāʾil ikhwān al-ṣafāʾ 	Full	Arabic										Catalogue	
Madras	Oriental Manuscripts Library 	151	Rasāʾil ikhwān al-ṣafāʾ 	Full	Arabic										Catalogue	
Madras	Oriental Manuscripts Library 	478	Mujmal al-ḥikma	Full	Persian										Catalogue	
Madras	Oriental Manuscripts Library 	879	Mujmal al-ḥikma	Full	Persian										Catalogue	
Madrid 	Escorial	Derenbourg 900 / Casiri 895	Rasāʾil ikhwān al-ṣafāʾ 	Risāla 22 (2.8)		942	1535								Vidi (Scan)	
Madrid 	Escorial	Derenbourg 928 / Casiri 923	Rasāʾil ikhwān al-ṣafāʾ 	Partial (22 first rasāʾil)				before 862/1458		Andalus/Maghrib					Vidi (Scan)	
Madrid 	Escorial	Derenbourg 942 / Casiri 937	Rasāʾil ikhwān al-ṣafāʾ 	Extracts in majmūʿa (epistles 13 & 40)		742	1341			Andalus/Maghrib				https://ismi.mpiwg-berlin.mpg.de/codex/15688	Vidi (Scan)	
Manchester	John Rylands Library	Or. 376	Rasāʾil ikhwān al-ṣafāʾ 	Partial (first qism)				12th/18th C		India?					Catalogue	
Manchester 	John Rylands Library	Gaster ar. 174	Rasāʾil ikhwān al-ṣafāʾ 	Geniza fragment epistle on animals										https://geniza.princeton.edu/en/documents/32954/		Yes
Manchester 	John Rylands Library	Or. 377	Rasāʾil ikhwān al-ṣafāʾ 	Partial (second qism)				12th/18th C		India?					Catalogue	
Manchester 	John Rylands Library	Persian MS 457	Jung-i Kalām-i Isti‘mālī	Anthology including fragments of Rasāʾil ikhwān al-ṣafāʾ 	Persian	1218	1804							https://www.fihrist.org.uk/catalog/manuscript_6954		
Manisa	Kitapsaray (?)	1705/2	Rasāʾil ikhwān al-ṣafāʾ 	Extract in majmūʿa (risalat al-jughrafiya)				7th/13th C								
Manisa	Kitapsaray (?)	2760	Mujmal al-ḥikma	Full copy?				7th/13th C		Saljuq 					NLAI	
Mashhad	Astan Quds Razavi	10479	Mujmal al-ḥikma	Full copy	Persian	1300	1882						Fehrestegan 2:554			
Mashhad	Astan Quds Razavi	10755	Mujmal al-ḥikma	Full copy	Persian			11th/17th C					Fehrestegan 28:316, nr. 20			
Mashhad	Astan Quds Razavi	12319	Rasāʾil ikhwān al-ṣafāʾ 	Partial (qism 2)	Arabic								Fehrestegan 16:420, nr. 41			
Mashhad	Astan Quds Razavi	13735/2		Extract in majmūʿa?		1134	1721							https://digital.aqr.ir/newindex.aspx?pid=6&ID=3453263&Complete=1&CBNID=993fe309-8dfd-41ea-a0ff-589ec904c106		
Mashhad	Astan Quds Razavi	22759	Rasāʾil ikhwān al-ṣafāʾ 	Partial (up to 4.3.)	Arabic								Fehrestegan 16:420, nr. 42			
Mashhad	Astan Quds Razavi	23432	Rasāʾil ikhwān al-ṣafāʾ 	Extract/summary		1058	1648			Iran					NLAI	
Mashhad	Astan Quds Razavi	24175	Mujmal al-ḥikma	Full				10th/16th C					Fehrestegan 28:315, no. 8			
Mashhad	Astan Quds Razavi	26338 	Mujmal al-ḥikma	Full									Fehrestegan 28:320, no. 67			
Mashhad	Astan Quds Razavi	27516		Persian translation 				13th/19th C			Moqaddasi b. Nasr ū-Dīgerān				NLAI	
Mashhad	Astan Quds Razavi	27804	Rasāʾil ikhwān al-ṣafāʾ 	Full?	Arabic			12th/18th C						https://digital.aqr.ir/newindex.aspx?pid=6&ID=3437187&CBNID=efc057d4-00ae-4be7-9112-3e8dba489c9a		
Mashhad	Astan Quds Razavi	34773		Persian translation		1263	1846							https://digital.aqr.ir/newindex.aspx?pid=6&ID=3469130&Complete=1&CBNID=7042d36c-c892-4b6f-b776-2fda92fe626f		
Mashhad	Astan Quds Razavi	37654 	Mujmal al-ḥikma	Mujmal al-ḥikma (Persian)				12th/18th C					Webstie AQR			
Mashhad	Astan Quds Razavi	402	Persian translation	Full copy?	Persian									https://digital.aqr.ir/newindex.aspx?pid=6&ID=3440886&Complete=1&CBNID=6220ce26-2767-449c-9da3-778c312c957d		
Mashhad	Astan Quds Razavi	526	Rasāʾil ikhwān al-ṣafāʾ 	Full		1238	1822				Aḥmad b. Muḥammad ʿAlī Iṣfahānī		Fehrestegan 16:419			
Mashhad	Astan Quds Razavi	527	Rasāʾil ikhwān al-ṣafāʾ 	Full 	Arabic	1097	1685				ʿAbdallāh Baḥrānī				Catalogue	
Mashhad	Astan Quds Razavi	528	Rasāʾil ikhwān al-ṣafāʾ 	Partial (13 of Qism 1, 2 of Qism 3)		1265	1848				Rajab ʿAlī b. ʿAbdallāh Iṣfahānī	Copied for prince Imamqoli Mīrzā, ruler of Kermanshāh (r. 1268-92)	Fehrestegan 16:419			
Mashhad	Astan Quds Razavi	529	Rasāʾil ikhwān al-ṣafāʾ 	Partial (2.8-2.17)									Fehrestegan 16:419-20, nr. 40			
Mashhad	Astan Quds Razavi	5500	Mujmal al-ḥikma	Extract 	Persian								Fehrestegan 2:554			
Mashhad	Astan Quds Razavi	6920	Mujmal al-ḥikma	Full copy	Persian	1240	1824						Fehrestegan 28:318, no. 49			
Mashhad	Astan Quds Razavi	8756	Mujmal al-ḥikma 	Full copy	Persian	971	1564						Fehrestegan 28:315, no. 6			
Mashhad	Dānishgāh-i IIllāhiyāt (Ferdowsi)	14761	Rasāʾil ikhwān al-ṣafāʾ 	Partial (qism 1 & 2)		1080	1669						Fehrestegan 16:419			http://manuscript.um.ac.ir/moreinfo-1736-pg-1.html
Mashhad	Dānishgāh-i IIllāhiyāt (Ferdowsi)	203	Rasāʾil ikhwān al-ṣafāʾ 	Partial (13 epistles of qism 1)				8th-9th/14th-15th C 					Fehrestegan 16:417			http://manuscript.um.ac.ir/moreinfo-240-pg-2.html
Mashhad	Dānishgāh-i IIllāhiyāt (Ferdowsi)	429	Mujmal al-ḥikma	Full copy		937	1530						Fehrestegan 28:315, no. 5			http://manuscript.um.ac.ir/moreinfo-491-pg-110.html
Mashhad	Goharshād Mosque 	1742	Mujmal al-ḥikma	Full copy	Persian	1038	1629						Fehrestegan 28:316, nr. 22			
Mashhad	Goharshād Mosque 	256	Mujmal al-ḥikma 	Full copy	Persian			13th/19th C					Fehrestegan 28:318, no. 46			
